Category	Explanation
MAPK8IP3/JIP3 modulator	Directly modulates the JIP3 protein or expression of the MAPK8IP3 gene.
Neurotransmitter signaling	Increases dopamine, GABA, or glutamate signaling in the brain.
Reduce oxidative stress	Reduces oxidative stress.
Anti-inflammatory	Reduces inflammation.
Neuroprotective	Protects neurons by reducing inflammation in the brain.
Increase neuroplasticity	Increases neuroplasticity.
Kinase inhibitor	Inhibits a kinase relevant to MAPK8IP3.
Immunomodulators	Modulates the immune system.
Anti-microbial	Antibacterial or antiviral.
Symptomatic relief	Provides relief for symptoms of MAPK8IP3-related disorder.
